"Campaign","Ad Group","Keyword","Match Type","Status","Max CPC","Ad Group Status","Default Max CPC","Ad Type","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Headline 11","Headline 12","Headline 13","Headline 14","Headline 15","Description 1","Description 2","Description 3","Description 4","Final URL","Display Path 1","Display Path 2","Campaign Status","Campaign Type","Budget","Bid Strategy Type","Max CPC (Campaign)","Networks","Languages","Device Bid Adjustment (Mobile)","Device Bid Adjustment (Tablet)","Geo Targeting","Ad Rotation","Sitelink Text","Sitelink Description Line 1","Sitelink Description Line 2","Sitelink Final URL","Callout Text","Snippet Header","Snippet Values"
"AutoScroll | Search | Chrome Extension","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enabled","Search","5","Maximize Clicks","1.20","Search Network Only","English","-100","-100","United States,United Kingdom,Canada,Australia","Optimize","","","","","","",""
"AutoScroll | Search | Chrome Extension","Core - Autoscroll Extension","","","","","Enabled","1.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Automatic Scrolling","","","","","Enabled","0.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Hands-Free Reading","","","","","Enabled","0.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Problem Aware","","","","","Enabled","0.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Core - Autoscroll Extension","autoscroll chrome extension","Exact","Enabled","1.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Core - Autoscroll Extension","auto scroll chrome extension","Exact","Enabled","1.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Core - Autoscroll Extension","autoscroll extension for chrome","Exact","Enabled","1.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Core - Autoscroll Extension","chrome autoscroll extension","Exact","Enabled","1.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Core - Autoscroll Extension","autoscroll chrome extension","Phrase","Enabled","0.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Core - Autoscroll Extension","auto scroll chrome extension","Phrase","Enabled","0.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Core - Autoscroll Extension","chrome extension autoscroll","Phrase","Enabled","0.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Core - Autoscroll Extension","autoscroll extension","Phrase","Enabled","0.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Automatic Scrolling","automatic scroll chrome extension","Exact","Enabled","1.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Automatic Scrolling","auto scroll web pages chrome","Exact","Enabled","1.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
